Email,github,labs,project
student 1,gh_username1,4,4
student 2,gh_username2,4,Wheat
student 3,gh_username3,1,1
student 4,gh_username4,2,Dynomite
student 5,gh_username5,3,2
student 6,gh_username6,3,2
student 7,gh_username7,4,Wheat
student 8,gh_username8,1,1
student 9,gh_username9,2,Dynomite
student 10,gh_username10,5,TFT
student 11,gh_username11,4,Wheat
student 12,gh_username12,2,Dynomite
student 13,gh_username13,1,1
student 14,gh_username14,5,3
student 15,gh_username15,5,3
student 16,gh_username16,5,TFT
